,ld_grd_s,ld_grd_i,lb_grd_s,lb_grd_i,lb_kme_sup,lb_kme_inf
5,43.47795906307997,8.709011450967363,12.263842980189818,23.63280212839225,28.82607449856736,15.265951916829103
6,40.41882919573974,5.998023521247564,11.84985368454613,25.39600001196478,27.72988505747127,14.28219278881533
7,41.29083655690147,8.782930513941864,11.114043659463306,22.224640627884867,26.882135076252734,13.568082788671036
8,39.93351097192709,8.931900012934648,11.25785386142486,23.152600524648868,27.8620190023753,14.4055709023941
9,42.6775222346285,7.5466308261920005,10.217705693286963,27.363174715320994,28.641040892193274,15.346859083191884
10,41.68324347064898,11.388521010078108,14.254237623291644,25.46471766175593,29.71799410029494,17.35049363057326
11,43.44492360475003,13.021502900497232,16.706139901568363,27.062959763744033,31.27933954276035,19.635108153078157
12,30.577386935472727,4.583572355859607,14.192424110220841,24.207700458190814,23.956342857142864,12.643813333333338
13,30.45662672596502,5.600838677658462,15.585825536536575,25.007213599708663,23.639319826338625,13.116586206896546
14,30.03717599403253,7.07548129626997,15.923016774795975,23.18590422700539,23.476236429433037,12.360368663594482
15,29.779691963192306,1.7023225070359214,13.476625037736227,24.085540520711845,23.440189873417733,11.725950782997785
16,29.288150976939328,-0.9716255388518427,11.067415186583133,21.86774913458499,22.625978647686832,9.496450939457183
17,31.824770661939844,2.6197253876078683,5.548073130006163,17.44898343203758,21.682882882882886,8.71565862708718
18,29.11624203382025,1.3087398552972864,7.247351007716247,17.54144262093064,19.376189735614304,8.399230769230794
19,25.761659447936026,0.6458415126777037,9.407013003452317,19.013009455293734,19.20025316455696,8.496595744680842
20,25.62018354535587,0.8949967966910695,8.761944002267924,20.195795970293503,18.708484848484847,8.855044247787607
21,24.881143255644353,3.6797448951779437,10.166891449468569,18.21596453754571,18.084250764526004,9.633030303030296
22,26.750843712531974,0.06805019592880512,10.480369360925216,22.686130054696935,19.445494186046524,9.846436781609178
23,28.523060703041644,1.263184373304604,12.268168795953713,23.978562018233013,21.6840673211781,11.297263157894731
24,31.92808175085665,6.462223703299671,15.776032845295973,25.414411216426856,24.378849144634522,15.255395683453248
25,30.54093846755649,7.408004008353988,18.226136382839172,25.926898638255306,24.521034031413603,14.774285714285718
26,31.980083330344286,7.740683388279361,16.67193850343558,24.667626119844957,24.179276018099536,14.181067961165036
27,31.14859182614114,5.18751636630469,15.86228886953323,23.72367312893961,23.883524027459945,12.526618705035979
28,29.74738023831533,3.523507791344132,14.425877468629807,20.893998754611474,21.97389610389606,9.816129032258067
29,31.217892158794918,2.0993022607918377,9.772813281252184,20.9901142802947,21.417919580419607,9.091176470588232
30,31.071741594897027,2.1833543132381514,8.092564487170506,19.778791327539736,20.45665979381444,8.27385620915032
31,30.366733069300786,0.8227671094838662,7.382028359818218,21.98956748449747,20.29137380191694,9.944201312910288
32,28.78097666665066,2.675497455449026,8.7063549800313,20.91225729076581,19.7271264367816,10.573634204275493
33,25.827227006628366,5.1534823418831905,12.445968110877047,19.898618287382664,19.466475095785434,11.448603351955326
34,29.190415680228924,6.291213932973795,12.407765152325116,20.294314008866216,20.70520547945207,9.880645161290321
35,30.779662678544234,6.969409433439598,14.282749809610742,22.346900172088148,23.014169675090248,13.654497354497309
36,43.31895916041478,13.11953437077478,18.773486699736438,29.12632760194708,32.34181286549709,19.703133159268944
37,43.23973831363883,11.65988400848461,20.04766027869846,33.59818673253325,32.68640873015871,20.384901531728694
38,43.098297890960225,10.890658392392602,20.28044489611493,32.44540483888795,32.5869598765432,20.56790697674417
39,44.27682064449035,9.96685769868871,16.94576212439864,30.006715902882704,31.603992210321366,18.745537065052943
40,43.92943119484817,9.254371201365021,14.436199765048645,24.740383524869884,30.207600596125214,16.243441226575857
41,37.734536808965245,8.91028912700257,14.983230031372205,21.982170960279305,27.78141592920352,13.624368499257063
42,36.28952268791741,6.931743020781209,15.036431834895232,23.51633837366448,26.856423611111122,13.34526785714279
43,38.454302327536666,8.133240139182892,11.781004536818465,21.883534201487556,26.494117647058825,13.360495626822143
44,42.39655736427649,8.445147398251887,8.527628656344412,22.309383031494537,27.41053550640281,13.435887191539388
45,43.073632928013254,7.0861168017814435,8.354840473866666,25.858692034402083,28.46248236953457,14.640313390313391
46,41.485772633393665,9.563139614157052,12.867705652504274,25.587586267682084,29.22079207920792,16.645063025210074
47,42.45392367096996,13.085400187954718,16.1091081053421,24.67821188574435,30.27575878594247,18.302673956262403
