,BBDD,Recontrol,Cantidad,Porcentaje (%),var,Sector
1,D,B,42399,6.93,N_TM106,7
2,MC,MC,31349,5.13,N_TM106,7
3,B,D,7448,1.22,N_TM106,7
4,M,M,6408,1.05,N_TM106,7
5,D,D,3364,0.55,N_TM106,7
6,B,M,1223,0.2,N_TM106,7
7,MC,D,1164,0.19,N_TM106,7
8,M,B,569,0.09,N_TM106,7
9,MC,M,532,0.09,N_TM106,7
10,M,D,203,0.03,N_TM106,7
11,D,M,83,0.01,N_TM106,7
0,B,B,502838,91.91,N_TM107,7
1,MC,MC,20271,3.71,N_TM107,7
2,D,B,7676,1.4,N_TM107,7
3,B,D,4903,0.9,N_TM107,7
4,M,M,4272,0.78,N_TM107,7
5,B,M,3828,0.7,N_TM107,7
6,D,D,1999,0.37,N_TM107,7
7,MC,D,455,0.08,N_TM107,7
8,MC,M,405,0.07,N_TM107,7
9,M,B,209,0.04,N_TM107,7
10,M,D,117,0.02,N_TM107,7
11,D,M,114,0.02,N_TM107,7
0,B,B,480099,88.83,N_TM108,7
1,MC,MC,20157,3.73,N_TM108,7
2,B,M,15695,2.9,N_TM108,7
3,D,B,12313,2.28,N_TM108,7
4,B,D,5753,1.06,N_TM108,7
5,D,D,2485,0.46,N_TM108,7
6,M,B,1223,0.23,N_TM108,7
7,MC,M,732,0.14,N_TM108,7
8,M,M,718,0.13,N_TM108,7
9,D,M,698,0.13,N_TM108,7
10,MC,D,564,0.1,N_TM108,7
11,M,D,27,0.0,N_TM108,7
0,B,B,481903,88.16,N_TM109,7
1,MC,MC,22280,4.08,N_TM109,7
2,D,B,14000,2.56,N_TM109,7
3,B,M,13927,2.55,N_TM109,7
4,B,D,6956,1.27,N_TM109,7
5,D,D,3563,0.65,N_TM109,7
6,M,M,1192,0.22,N_TM109,7
7,D,M,794,0.15,N_TM109,7
8,MC,D,675,0.12,N_TM109,7
9,M,B,659,0.12,N_TM109,7
10,MC,M,591,0.11,N_TM109,7
11,M,D,100,0.02,N_TM109,7
0,B,B,873326,96.79,N_PT101,7
1,MC,MC,29008,3.21,N_PT101,7
0,B,B,763015,96.59,N_PT102,7
1,MC,MC,26944,3.41,N_PT102,7
2,M,B,1,0.0,N_PT102,7
0,B,B,761247,96.58,N_PT103,7
1,MC,MC,26995,3.42,N_PT103,7
0,B,B,772816,85.07,N_TM102,8
1,MC,MC,99937,11.0,N_TM102,8
2,D,B,14237,1.57,N_TM102,8
3,B,D,9804,1.08,N_TM102,8
4,M,M,4181,0.46,N_TM102,8
5,MC,D,2691,0.3,N_TM102,8
6,D,D,2584,0.28,N_TM102,8
7,MC,M,1174,0.13,N_TM102,8
8,B,M,557,0.06,N_TM102,8
9,M,B,316,0.03,N_TM102,8
10,M,D,110,0.01,N_TM102,8
11,D,M,24,0.0,N_TM102,8
0,B,B,724878,79.2,N_TM103,8
1,MC,MC,139699,15.26,N_TM103,8
2,D,B,16303,1.78,N_TM103,8
3,B,D,11375,1.24,N_TM103,8
4,M,M,5868,0.64,N_TM103,8
5,B,M,4401,0.48,N_TM103,8
6,MC,M,3662,0.4,N_TM103,8
7,MC,D,3346,0.37,N_TM103,8
8,D,D,2674,0.29,N_TM103,8
9,M,B,2540,0.28,N_TM103,8
10,M,D,242,0.03,N_TM103,8
11,D,M,239,0.03,N_TM103,8
0,B,B,578440,67.93,N_TM104,8
1,D,B,226498,26.6,N_TM104,8
2,MC,MC,19662,2.31,N_TM104,8
3,B,D,7748,0.91,N_TM104,8
4,M,M,7531,0.88,N_TM104,8
5,D,D,5046,0.59,N_TM104,8
6,M,B,2858,0.34,N_TM104,8
7,B,M,2086,0.24,N_TM104,8
8,MC,M,747,0.09,N_TM104,8
9,MC,D,598,0.07,N_TM104,8
10,M,D,246,0.03,N_TM104,8
11,D,M,66,0.01,N_TM104,8
0,B,B,795895,93.58,N_TM105,8
1,MC,MC,19314,2.27,N_TM105,8
2,D,B,11181,1.31,N_TM105,8
3,B,D,9533,1.12,N_TM105,8
4,M,M,7087,0.83,N_TM105,8
5,B,M,2594,0.31,N_TM105,8
6,D,D,2449,0.29,N_TM105,8
7,MC,M,981,0.12,N_TM105,8
8,MC,D,858,0.1,N_TM105,8
9,M,B,262,0.03,N_TM105,8
10,D,M,208,0.02,N_TM105,8
11,M,D,124,0.01,N_TM105,8
0,B,B,582447,68.42,N_TM106,8
1,D,B,224311,26.35,N_TM106,8
2,MC,MC,21840,2.57,N_TM106,8
3,B,D,7859,0.92,N_TM106,8
4,D,D,7155,0.84,N_TM106,8
5,M,M,2669,0.31,N_TM106,8
6,B,M,1847,0.22,N_TM106,8
7,M,B,1625,0.19,N_TM106,8
8,MC,D,1029,0.12,N_TM106,8
9,MC,M,354,0.04,N_TM106,8
10,M,D,114,0.01,N_TM106,8
11,D,M,56,0.01,N_TM106,8
0,B,B,714838,94.26,N_TM107,8
1,B,M,9699,1.28,N_TM107,8
2,MC,MC,9205,1.21,N_TM107,8
3,B,D,8502,1.12,N_TM107,8
4,M,M,4662,0.61,N_TM107,8
5,D,B,4650,0.61,N_TM107,8
6,D,D,3036,0.4,N_TM107,8
7,M,B,2506,0.33,N_TM107,8
8,MC,M,573,0.08,N_TM107,8
9,M,D,263,0.03,N_TM107,8
10,MC,D,222,0.03,N_TM107,8
11,D,M,185,0.02,N_TM107,8
0,B,B,687458,90.81,N_TM108,8
1,MC,MC,30533,4.03,N_TM108,8
2,B,M,15530,2.05,N_TM108,8
3,B,D,9422,1.24,N_TM108,8
4,D,B,7405,0.98,N_TM108,8
5,D,D,4179,0.55,N_TM108,8
6,MC,M,767,0.1,N_TM108,8
7,M,M,676,0.09,N_TM108,8
8,MC,D,546,0.07,N_TM108,8
9,D,M,381,0.05,N_TM108,8
10,M,B,143,0.02,N_TM108,8
11,M,D,23,0.0,N_TM108,8
0,B,B,695980,91.82,N_TM109,8
1,MC,MC,22137,2.92,N_TM109,8
2,B,M,11723,1.55,N_TM109,8
3,B,D,10554,1.39,N_TM109,8
4,D,B,7044,0.93,N_TM109,8
5,D,D,5407,0.71,N_TM109,8
6,M,M,2030,0.27,N_TM109,8
7,M,B,1615,0.21,N_TM109,8
8,MC,D,608,0.08,N_TM109,8
9,MC,M,598,0.08,N_TM109,8
10,D,M,160,0.02,N_TM109,8
11,M,D,104,0.01,N_TM109,8
0,B,B,1737627,97.59,N_PT101,8
1,MC,MC,42880,2.41,N_PT101,8
2,M,B,1,0.0,N_PT101,8
0,B,B,1587717,97.81,N_PT102,8
1,MC,MC,35615,2.19,N_PT102,8
0,B,B,1574204,97.73,N_PT103,8
1,MC,MC,36521,2.27,N_PT103,8
2,M,B,1,0.0,N_PT103,8
0,B,B,1073281,85.28,N_TM102,9
1,MC,MC,139928,11.12,N_TM102,9
2,D,B,19901,1.58,N_TM102,9
3,B,D,10730,0.85,N_TM102,9
4,M,M,5676,0.45,N_TM102,9
5,MC,D,4040,0.32,N_TM102,9
6,D,D,3371,0.27,N_TM102,9
7,MC,M,670,0.05,N_TM102,9
8,M,B,565,0.04,N_TM102,9
9,B,M,187,0.01,N_TM102,9
10,M,D,113,0.01,N_TM102,9
11,D,M,38,0.0,N_TM102,9
0,B,B,1097720,86.79,N_TM103,9
1,MC,MC,116857,9.24,N_TM103,9
2,D,B,12841,1.02,N_TM103,9
3,B,D,12449,0.98,N_TM103,9
4,B,M,8273,0.65,N_TM103,9
5,M,M,7086,0.56,N_TM103,9
6,MC,D,3798,0.3,N_TM103,9
7,D,D,3510,0.28,N_TM103,9
8,MC,M,1694,0.13,N_TM103,9
9,M,B,316,0.02,N_TM103,9
10,M,D,154,0.01,N_TM103,9
11,D,M,95,0.01,N_TM103,9
0,B,B,982219,85.85,N_TM104,9
1,D,B,87425,7.64,N_TM104,9
2,MC,MC,40980,3.58,N_TM104,9
3,M,M,10663,0.93,N_TM104,9
4,B,D,8918,0.78,N_TM104,9
5,MC,M,3759,0.33,N_TM104,9
6,D,D,3604,0.32,N_TM104,9
7,B,M,3562,0.31,N_TM104,9
8,M,B,1523,0.13,N_TM104,9
9,MC,D,1182,0.1,N_TM104,9
10,M,D,190,0.02,N_TM104,9
11,D,M,89,0.01,N_TM104,9
0,B,B,1018886,90.09,N_TM105,9
1,MC,MC,62392,5.52,N_TM105,9
2,D,B,18634,1.65,N_TM105,9
3,M,M,13592,1.2,N_TM105,9
4,B,D,8904,0.79,N_TM105,9
5,D,D,3144,0.28,N_TM105,9
6,B,M,1947,0.17,N_TM105,9
7,MC,D,1612,0.14,N_TM105,9
8,MC,M,752,0.07,N_TM105,9
9,M,B,674,0.06,N_TM105,9
10,D,M,241,0.02,N_TM105,9
11,M,D,223,0.02,N_TM105,9
0,B,B,974298,85.08,N_TM106,9
1,D,B,95120,8.31,N_TM106,9
2,MC,MC,43538,3.8,N_TM106,9
3,B,D,10941,0.96,N_TM106,9
4,M,M,8932,0.78,N_TM106,9
5,D,D,5475,0.48,N_TM106,9
6,B,M,2484,0.22,N_TM106,9
7,M,B,1941,0.17,N_TM106,9
8,MC,D,1501,0.13,N_TM106,9
9,MC,M,628,0.05,N_TM106,9
10,M,D,157,0.01,N_TM106,9
11,D,M,76,0.01,N_TM106,9
0,B,B,952499,94.35,N_TM107,9
1,MC,MC,18580,1.84,N_TM107,9
2,D,B,10103,1.0,N_TM107,9
3,B,D,8099,0.8,N_TM107,9
4,B,M,7636,0.76,N_TM107,9
5,M,M,6880,0.68,N_TM107,9
6,D,D,3440,0.34,N_TM107,9
7,MC,M,1205,0.12,N_TM107,9
8,MC,D,422,0.04,N_TM107,9
9,M,B,340,0.03,N_TM107,9
10,M,D,166,0.02,N_TM107,9
11,D,M,122,0.01,N_TM107,9
0,B,B,895231,89.19,N_TM108,9
1,MC,MC,44615,4.44,N_TM108,9
2,B,M,25656,2.56,N_TM108,9
3,D,B,19156,1.91,N_TM108,9
4,B,D,9331,0.93,N_TM108,9
5,D,D,4137,0.41,N_TM108,9
6,MC,M,1326,0.13,N_TM108,9
7,M,M,1300,0.13,N_TM108,9
8,D,M,1153,0.11,N_TM108,9
9,M,B,963,0.1,N_TM108,9
10,MC,D,849,0.08,N_TM108,9
11,M,D,40,0.0,N_TM108,9
0,B,B,899854,89.1,N_TM109,9
1,MC,MC,45364,4.49,N_TM109,9
2,B,M,22677,2.25,N_TM109,9
3,D,B,18777,1.86,N_TM109,9
4,B,D,10703,1.06,N_TM109,9
5,D,D,5019,0.5,N_TM109,9
6,M,M,2746,0.27,N_TM109,9
7,MC,M,2110,0.21,N_TM109,9
8,MC,D,1380,0.14,N_TM109,9
9,D,M,890,0.09,N_TM109,9
10,M,B,354,0.04,N_TM109,9
11,M,D,46,0.0,N_TM109,9
0,B,B,1772835,96.31,N_PT101,9
1,MC,MC,67883,3.69,N_PT101,9
2,M,B,1,0.0,N_PT101,9
0,B,B,1557841,96.0,N_PT102,9
1,MC,MC,64860,4.0,N_PT102,9
2,M,B,1,0.0,N_PT102,9
0,B,B,1547299,95.72,N_PT103,9
1,MC,MC,69113,4.28,N_PT103,9
2,M,B,3,0.0,N_PT103,9
0,B,B,198973,87.43,N_TM102,10
1,MC,MC,21966,9.65,N_TM102,10
2,D,B,3500,1.54,N_TM102,10
3,B,D,1544,0.68,N_TM102,10
4,MC,M,528,0.23,N_TM102,10
5,M,M,384,0.17,N_TM102,10
6,MC,D,317,0.14,N_TM102,10
7,D,D,275,0.12,N_TM102,10
8,M,B,47,0.02,N_TM102,10
9,B,M,34,0.01,N_TM102,10
10,D,M,3,0.0,N_TM102,10
11,M,D,3,0.0,N_TM102,10
0,B,B,191154,83.77,N_TM103,10
1,MC,MC,25743,11.28,N_TM103,10
2,D,B,3601,1.58,N_TM103,10
3,B,D,3530,1.55,N_TM103,10
4,B,M,1327,0.58,N_TM103,10
5,D,D,860,0.38,N_TM103,10
6,M,M,680,0.3,N_TM103,10
7,MC,D,665,0.29,N_TM103,10
8,MC,M,429,0.19,N_TM103,10
9,M,B,141,0.06,N_TM103,10
10,D,M,61,0.03,N_TM103,10
11,M,D,11,0.0,N_TM103,10
0,B,B,186875,91.65,N_TM104,10
1,D,B,9527,4.67,N_TM104,10
2,B,D,2232,1.09,N_TM104,10
3,MC,MC,1841,0.9,N_TM104,10
4,D,D,1042,0.51,N_TM104,10
5,M,M,844,0.41,N_TM104,10
6,B,M,816,0.4,N_TM104,10
7,M,B,456,0.22,N_TM104,10
8,MC,D,156,0.08,N_TM104,10
9,MC,M,77,0.04,N_TM104,10
10,M,D,24,0.01,N_TM104,10
11,D,M,16,0.01,N_TM104,10
0,B,B,189374,93.12,N_TM105,10
1,M,M,4538,2.23,N_TM105,10
2,MC,MC,4171,2.05,N_TM105,10
3,D,B,2129,1.05,N_TM105,10
4,B,D,1024,0.5,N_TM105,10
5,B,M,867,0.43,N_TM105,10
6,MC,M,687,0.34,N_TM105,10
7,D,D,269,0.13,N_TM105,10
8,MC,D,121,0.06,N_TM105,10
9,M,D,85,0.04,N_TM105,10
10,D,M,73,0.04,N_TM105,10
11,M,B,20,0.01,N_TM105,10
0,B,B,185844,91.76,N_TM106,10
1,D,B,7367,3.64,N_TM106,10
2,M,M,3735,1.84,N_TM106,10
3,B,D,1600,0.79,N_TM106,10
4,MC,MC,1425,0.7,N_TM106,10
5,B,M,836,0.41,N_TM106,10
6,D,D,699,0.35,N_TM106,10
7,MC,M,581,0.29,N_TM106,10
8,M,B,241,0.12,N_TM106,10
9,MC,D,106,0.05,N_TM106,10
10,M,D,72,0.04,N_TM106,10
11,D,M,18,0.01,N_TM106,10
0,B,B,177310,94.09,N_TM107,10
1,D,B,3432,1.82,N_TM107,10
2,B,M,2488,1.32,N_TM107,10
3,B,D,2138,1.13,N_TM107,10
4,MC,MC,1507,0.8,N_TM107,10
5,D,D,932,0.49,N_TM107,10
6,M,M,255,0.14,N_TM107,10
7,M,B,197,0.1,N_TM107,10
8,MC,M,96,0.05,N_TM107,10
9,D,M,58,0.03,N_TM107,10
10,MC,D,32,0.02,N_TM107,10
11,M,D,3,0.0,N_TM107,10
0,B,B,169860,90.36,N_TM108,10
1,B,M,10598,5.64,N_TM108,10
2,D,B,2554,1.36,N_TM108,10
3,B,D,1896,1.01,N_TM108,10
4,MC,MC,1268,0.67,N_TM108,10
5,D,D,941,0.5,N_TM108,10
6,MC,M,377,0.2,N_TM108,10
7,D,M,235,0.13,N_TM108,10
8,M,M,161,0.09,N_TM108,10
9,M,B,68,0.04,N_TM108,10
10,MC,D,21,0.01,N_TM108,10
11,M,D,3,0.0,N_TM108,10
0,B,B,166232,88.92,N_TM109,10
1,B,M,9632,5.15,N_TM109,10
2,MC,MC,3704,1.98,N_TM109,10
3,D,B,2542,1.36,N_TM109,10
4,B,D,2428,1.3,N_TM109,10
5,D,D,1287,0.69,N_TM109,10
6,MC,M,347,0.19,N_TM109,10
7,MC,D,292,0.16,N_TM109,10
8,D,M,274,0.15,N_TM109,10
9,M,M,147,0.08,N_TM109,10
10,M,B,51,0.03,N_TM109,10
11,M,D,2,0.0,N_TM109,10
0,B,B,347878,98.46,N_PT101,10
1,MC,MC,5452,1.54,N_PT101,10
0,B,B,297916,98.65,N_PT102,10
1,MC,MC,4090,1.35,N_PT102,10
0,B,B,297147,98.6,N_PT103,10
1,MC,MC,4220,1.4,N_PT103,10
0,B,B,581993,86.78,N_TM102,11
1,MC,MC,49140,7.33,N_TM102,11
2,D,B,26903,4.01,N_TM102,11
3,B,D,5563,0.83,N_TM102,11
4,M,M,3348,0.5,N_TM102,11
5,MC,D,1403,0.21,N_TM102,11
6,D,D,1323,0.2,N_TM102,11
7,B,M,338,0.05,N_TM102,11
8,MC,M,335,0.05,N_TM102,11
9,M,B,160,0.02,N_TM102,11
10,M,D,87,0.01,N_TM102,11
11,D,M,64,0.01,N_TM102,11
0,B,B,550895,83.48,N_TM103,11
1,MC,MC,67841,10.28,N_TM103,11
2,D,B,13295,2.01,N_TM103,11
3,B,D,11594,1.76,N_TM103,11
4,D,D,3968,0.6,N_TM103,11
5,MC,D,3929,0.6,N_TM103,11
6,M,M,3611,0.55,N_TM103,11
7,B,M,3277,0.5,N_TM103,11
8,MC,M,726,0.11,N_TM103,11
9,M,B,545,0.08,N_TM103,11
10,D,M,162,0.02,N_TM103,11
11,M,D,83,0.01,N_TM103,11
0,B,B,554190,86.7,N_TM104,11
1,D,B,51315,8.03,N_TM104,11
2,B,D,9413,1.47,N_TM104,11
3,MC,MC,8716,1.36,N_TM104,11
4,D,D,5456,0.85,N_TM104,11
5,M,M,4143,0.65,N_TM104,11
6,B,M,2864,0.45,N_TM104,11
7,M,B,2126,0.33,N_TM104,11
8,MC,D,705,0.11,N_TM104,11
9,D,M,91,0.01,N_TM104,11
10,M,D,91,0.01,N_TM104,11
11,MC,M,78,0.01,N_TM104,11
0,B,B,563677,88.41,N_TM105,11
1,D,B,36544,5.73,N_TM105,11
2,M,M,14870,2.33,N_TM105,11
3,MC,MC,8893,1.39,N_TM105,11
4,B,D,5140,0.81,N_TM105,11
5,B,M,4821,0.76,N_TM105,11
6,D,D,1578,0.25,N_TM105,11
7,D,M,729,0.11,N_TM105,11
8,MC,D,522,0.08,N_TM105,11
9,MC,M,481,0.08,N_TM105,11
10,M,D,173,0.03,N_TM105,11
11,M,B,134,0.02,N_TM105,11
0,B,B,552440,86.44,N_TM106,11
1,D,B,50160,7.85,N_TM106,11
2,M,M,11812,1.85,N_TM106,11
3,MC,MC,8657,1.35,N_TM106,11
4,B,D,6867,1.07,N_TM106,11
5,B,M,3399,0.53,N_TM106,11
6,D,D,3251,0.51,N_TM106,11
7,M,B,1268,0.2,N_TM106,11
8,MC,D,596,0.09,N_TM106,11
9,MC,M,392,0.06,N_TM106,11
10,M,D,173,0.03,N_TM106,11
11,D,M,87,0.01,N_TM106,11
0,B,B,565175,92.14,N_TM107,11
1,D,B,14041,2.29,N_TM107,11
2,B,M,10397,1.69,N_TM107,11
3,B,D,9982,1.63,N_TM107,11
4,MC,MC,6104,1.0,N_TM107,11
5,D,D,4033,0.66,N_TM107,11
6,M,M,1635,0.27,N_TM107,11
7,M,B,1229,0.2,N_TM107,11
8,D,M,481,0.08,N_TM107,11
9,MC,D,193,0.03,N_TM107,11
10,MC,M,93,0.02,N_TM107,11
11,M,D,30,0.0,N_TM107,11
0,B,B,533972,87.28,N_TM108,11
1,B,M,40111,6.56,N_TM108,11
2,D,B,14500,2.37,N_TM108,11
3,B,D,8126,1.33,N_TM108,11
4,MC,MC,6283,1.03,N_TM108,11
5,D,D,3203,0.52,N_TM108,11
6,D,M,2959,0.48,N_TM108,11
7,M,M,1617,0.26,N_TM108,11
8,M,B,614,0.1,N_TM108,11
9,MC,D,200,0.03,N_TM108,11
10,MC,M,168,0.03,N_TM108,11
11,M,D,33,0.01,N_TM108,11
0,B,B,538977,87.89,N_TM109,11
1,B,M,37038,6.04,N_TM109,11
2,D,B,13161,2.15,N_TM109,11
3,B,D,9322,1.52,N_TM109,11
4,MC,MC,5866,0.96,N_TM109,11
5,D,D,4541,0.74,N_TM109,11
6,M,M,1736,0.28,N_TM109,11
7,D,M,1476,0.24,N_TM109,11
8,M,B,583,0.1,N_TM109,11
9,MC,D,422,0.07,N_TM109,11
10,MC,M,89,0.01,N_TM109,11
11,M,D,30,0.0,N_TM109,11
0,B,B,1370880,97.11,N_PT101,11
1,MC,MC,40819,2.89,N_PT101,11
0,B,B,1302621,98.43,N_PT102,11
1,MC,MC,20732,1.57,N_PT102,11
0,B,B,1300433,98.41,N_PT103,11
1,MC,MC,21045,1.59,N_PT103,11
0,B,B,104388,88.8,N_TM102,12
1,MC,MC,8257,7.02,N_TM102,12
2,D,B,3030,2.58,N_TM102,12
3,B,D,996,0.85,N_TM102,12
4,M,M,389,0.33,N_TM102,12
5,D,D,210,0.18,N_TM102,12
6,MC,D,147,0.13,N_TM102,12
7,B,M,51,0.04,N_TM102,12
8,MC,M,43,0.04,N_TM102,12
9,M,B,35,0.03,N_TM102,12
10,D,M,6,0.01,N_TM102,12
11,M,D,6,0.01,N_TM102,12
0,B,B,103165,88.51,N_TM103,12
1,MC,MC,6912,5.93,N_TM103,12
2,D,B,3148,2.7,N_TM103,12
3,B,D,1404,1.2,N_TM103,12
4,M,M,616,0.53,N_TM103,12
5,B,M,519,0.45,N_TM103,12
6,D,D,391,0.34,N_TM103,12
7,MC,D,255,0.22,N_TM103,12
8,D,M,52,0.04,N_TM103,12
9,MC,M,44,0.04,N_TM103,12
10,M,B,29,0.02,N_TM103,12
11,M,D,17,0.01,N_TM103,12
0,B,B,93683,87.2,N_TM104,12
1,D,B,7487,6.97,N_TM104,12
2,MC,MC,3292,3.06,N_TM104,12
3,B,D,1291,1.2,N_TM104,12
4,M,M,532,0.5,N_TM104,12
5,D,D,409,0.38,N_TM104,12
6,B,M,269,0.25,N_TM104,12
7,M,B,247,0.23,N_TM104,12
8,MC,M,141,0.13,N_TM104,12
9,MC,D,68,0.06,N_TM104,12
10,D,M,11,0.01,N_TM104,12
11,M,D,10,0.01,N_TM104,12
0,B,B,95241,89.89,N_TM105,12
1,MC,MC,4913,4.64,N_TM105,12
2,D,B,2385,2.25,N_TM105,12
3,M,M,1705,1.61,N_TM105,12
4,B,D,823,0.78,N_TM105,12
5,B,M,473,0.45,N_TM105,12
6,D,D,161,0.15,N_TM105,12
7,MC,D,94,0.09,N_TM105,12
8,D,M,82,0.08,N_TM105,12
9,MC,M,53,0.05,N_TM105,12
10,M,D,16,0.02,N_TM105,12
11,M,B,6,0.01,N_TM105,12
0,B,B,92231,86.07,N_TM106,12
1,MC,MC,5913,5.52,N_TM106,12
2,D,B,5464,5.1,N_TM106,12
3,M,M,1298,1.21,N_TM106,12
4,B,D,1186,1.11,N_TM106,12
5,B,M,370,0.35,N_TM106,12
6,D,D,332,0.31,N_TM106,12
7,MC,D,144,0.13,N_TM106,12
8,M,B,128,0.12,N_TM106,12
9,MC,M,66,0.06,N_TM106,12
10,M,D,19,0.02,N_TM106,12
11,D,M,7,0.01,N_TM106,12
0,B,B,81546,91.14,N_TM107,12
1,MC,MC,2593,2.9,N_TM107,12
2,D,B,2278,2.55,N_TM107,12
3,B,M,1263,1.41,N_TM107,12
4,B,D,1018,1.14,N_TM107,12
5,D,D,310,0.35,N_TM107,12
6,M,M,211,0.24,N_TM107,12
7,MC,M,133,0.15,N_TM107,12
8,M,B,59,0.07,N_TM107,12
9,D,M,27,0.03,N_TM107,12
10,MC,D,27,0.03,N_TM107,12
11,M,D,4,0.0,N_TM107,12
0,B,B,75055,85.27,N_TM108,12
1,B,M,4803,5.46,N_TM108,12
2,MC,MC,4102,4.66,N_TM108,12
3,D,B,2181,2.48,N_TM108,12
4,B,D,927,1.05,N_TM108,12
5,D,D,295,0.34,N_TM108,12
6,M,B,186,0.21,N_TM108,12
7,D,M,172,0.2,N_TM108,12
8,M,M,118,0.13,N_TM108,12
9,MC,M,92,0.1,N_TM108,12
10,MC,D,79,0.09,N_TM108,12
11,M,D,12,0.01,N_TM108,12
0,B,B,75173,84.37,N_TM109,12
1,MC,MC,5607,6.29,N_TM109,12
2,B,M,4138,4.64,N_TM109,12
3,D,B,1840,2.07,N_TM109,12
4,B,D,1164,1.31,N_TM109,12
5,D,D,515,0.58,N_TM109,12
6,MC,M,166,0.19,N_TM109,12
7,D,M,162,0.18,N_TM109,12
8,M,M,156,0.18,N_TM109,12
9,MC,D,129,0.14,N_TM109,12
10,M,B,49,0.05,N_TM109,12
11,M,D,2,0.0,N_TM109,12
0,B,B,151270,98.88,N_PT101,12
1,MC,MC,1716,1.12,N_PT101,12
0,B,B,119551,98.62,N_PT102,12
1,MC,MC,1674,1.38,N_PT102,12
0,B,B,119402,98.57,N_PT103,12
1,MC,MC,1730,1.43,N_PT103,12
0,B,B,136138,81.25,N_TM102,13
1,MC,MC,19804,11.82,N_TM102,13
2,D,B,7933,4.73,N_TM102,13
3,B,D,1533,0.91,N_TM102,13
4,M,M,1065,0.64,N_TM102,13
5,MC,D,405,0.24,N_TM102,13
6,D,D,359,0.21,N_TM102,13
7,MC,M,201,0.12,N_TM102,13
8,B,M,43,0.03,N_TM102,13
9,M,B,38,0.02,N_TM102,13
10,M,D,23,0.01,N_TM102,13
11,D,M,16,0.01,N_TM102,13
0,B,B,130015,79.26,N_TM103,13
1,MC,MC,22634,13.8,N_TM103,13
2,D,B,3557,2.17,N_TM103,13
3,B,D,3206,1.95,N_TM103,13
4,M,M,2064,1.26,N_TM103,13
5,MC,D,911,0.56,N_TM103,13
6,D,D,878,0.54,N_TM103,13
7,B,M,404,0.25,N_TM103,13
8,MC,M,221,0.13,N_TM103,13
9,M,B,73,0.04,N_TM103,13
10,D,M,34,0.02,N_TM103,13
11,M,D,30,0.02,N_TM103,13
0,B,B,130349,85.6,N_TM104,13
1,D,B,15563,10.22,N_TM104,13
2,B,D,2525,1.66,N_TM104,13
3,D,D,1257,0.83,N_TM104,13
4,M,M,1038,0.68,N_TM104,13
5,M,B,884,0.58,N_TM104,13
6,MC,MC,320,0.21,N_TM104,13
7,B,M,285,0.19,N_TM104,13
8,M,D,28,0.02,N_TM104,13
9,D,M,14,0.01,N_TM104,13
10,MC,M,7,0.0,N_TM104,13
11,MC,D,6,0.0,N_TM104,13
0,B,B,130476,86.2,N_TM105,13
1,D,B,9617,6.35,N_TM105,13
2,M,M,4917,3.25,N_TM105,13
3,MC,MC,3345,2.21,N_TM105,13
4,B,D,1297,0.86,N_TM105,13
5,B,M,715,0.47,N_TM105,13
6,D,D,426,0.28,N_TM105,13
7,D,M,256,0.17,N_TM105,13
8,MC,M,182,0.12,N_TM105,13
9,M,D,75,0.05,N_TM105,13
10,M,B,37,0.02,N_TM105,13
11,MC,D,20,0.01,N_TM105,13
0,B,B,128879,84.76,N_TM106,13
1,D,B,15957,10.49,N_TM106,13
2,M,M,3776,2.48,N_TM106,13
3,B,D,1728,1.14,N_TM106,13
4,D,D,758,0.5,N_TM106,13
5,M,B,612,0.4,N_TM106,13
6,B,M,231,0.15,N_TM106,13
7,M,D,97,0.06,N_TM106,13
8,D,M,16,0.01,N_TM106,13
0,B,B,122238,94.32,N_TM107,13
1,B,M,2408,1.86,N_TM107,13
2,D,B,2246,1.73,N_TM107,13
3,B,D,1493,1.15,N_TM107,13
4,D,D,686,0.53,N_TM107,13
5,M,M,333,0.26,N_TM107,13
6,M,B,113,0.09,N_TM107,13
7,D,M,75,0.06,N_TM107,13
8,M,D,3,0.0,N_TM107,13
0,B,B,112180,87.1,N_TM108,13
1,B,M,8039,6.24,N_TM108,13
2,MC,MC,2989,2.32,N_TM108,13
3,D,B,2585,2.01,N_TM108,13
4,B,D,976,0.76,N_TM108,13
5,D,M,680,0.53,N_TM108,13
6,D,D,464,0.36,N_TM108,13
7,MC,M,439,0.34,N_TM108,13
8,M,M,366,0.28,N_TM108,13
9,M,B,45,0.03,N_TM108,13
10,MC,D,33,0.03,N_TM108,13
11,M,D,3,0.0,N_TM108,13
0,B,B,116408,89.93,N_TM109,13
1,B,M,7332,5.66,N_TM109,13
2,D,B,2438,1.88,N_TM109,13
3,B,D,1509,1.17,N_TM109,13
4,D,D,732,0.57,N_TM109,13
5,M,M,642,0.5,N_TM109,13
6,D,M,319,0.25,N_TM109,13
7,M,B,57,0.04,N_TM109,13
8,M,D,11,0.01,N_TM109,13
0,B,B,213239,99.99,N_PT101,13
1,MC,MC,27,0.01,N_PT101,13
0,B,B,174783,99.97,N_PT102,13
1,MC,MC,50,0.03,N_PT102,13
0,B,B,174491,99.98,N_PT103,13
1,MC,MC,35,0.02,N_PT103,13
0,B,B,132309,83.59,N_TM102,14
1,MC,MC,18749,11.84,N_TM102,14
2,D,B,3255,2.06,N_TM102,14
3,M,M,1530,0.97,N_TM102,14
